antecedent,consequent,support,confidence,lift,count
"PU=Midtown East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0056,0.909,1.03,2236
"PU=Midtown North, PU_bor=Manhattan",DO_bor=Manhattan,0.0232,0.913,1.03,9226
"PU=East Village, PU_bor=Manhattan",DO_bor=Manhattan,0.0309,0.915,1.03,12285
DO=UN/Turtle Bay South,PU_bor=Manhattan,0.015,0.926,1.03,5957
"DO=Gramercy, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.005,0.928,1.03,2009
DO=Lower East Side,PU_bor=Manhattan,0.01,0.927,1.03,3964
"DO=Murray Hill, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0079,0.929,1.03,3149
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.006,0.302,1.03,2389
"DO=UN/Turtle Bay South, DO_bor=Manhattan",PU_bor=Manhattan,0.015,0.926,1.03,5957
PU=East Village,DO_bor=Manhattan,0.0309,0.915,1.03,12285
"DO=Lenox Hill West, DO_bor=Manhattan, PU_bor=Manhattan",rush=yes,0.0078,0.303,1.03,3097
"DO_bor=Manhattan, PU=Penn Station/Madison Sq West, PU_bor=Manhattan",rush=yes,0.0108,0.302,1.03,4295
"PU=Clinton East, weekend=yes",DO_bor=Manhattan,0.0096,0.916,1.03,3821
PU=Midtown Center,DO_bor=Manhattan,0.0369,0.917,1.03,14689
"DO=Clinton East, DO_bor=Manhattan",PU_bor=Manhattan,0.024,0.931,1.03,9547
"DO=Murray Hill, rush=yes",PU_bor=Manhattan,0.0079,0.929,1.03,3149
"DO=Lower East Side, DO_bor=Manhattan",PU_bor=Manhattan,0.01,0.927,1.03,3964
PU=TriBeCa/Civic Center,DO_bor=Manhattan,0.0115,0.914,1.03,4578
"DO=Penn Station/Madison Sq West, DO_bor=Manhattan",rush=yes,0.0063,0.302,1.03,2505
"DO=Penn Station/Madison Sq West, PU_bor=Manhattan",rush=yes,0.006,0.302,1.03,2389
"DO=Gramercy, rush=yes",PU_bor=Manhattan,0.005,0.928,1.03,2009
PU=Midtown North,DO_bor=Manhattan,0.0232,0.913,1.03,9226
DO=Penn Station/Madison Sq West,rush=yes,0.0063,0.302,1.03,2505
"PU=Clinton East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0096,0.916,1.03,3821
DO=Lenox Hill West,rush=yes,0.0081,0.302,1.03,3226
"DO=Garment District, DO_bor=Manhattan",PU_bor=Manhattan,0.0115,0.919,1.02,4590
"PU=Times Sq/Theatre District, rush=yes",DO_bor=Manhattan,0.0087,0.908,1.02,3456
"PU=Midtown North, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0056,0.903,1.02,2222
"DO=Clinton East, rush=yes",PU_bor=Manhattan,0.0062,0.92,1.02,2487
"DO=Clinton East, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0062,0.92,1.02,2487
"DO=Midtown South, weekend=yes",PU_bor=Manhattan,0.0051,0.924,1.02,2017
PU=Kips Bay,DO_bor=Manhattan,0.0103,0.908,1.02,4095
"DO=Midtown South, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0051,0.924,1.02,2017
"PU=Midtown South, PU_bor=Manhattan",DO_bor=Manhattan,0.0202,0.905,1.02,8025
DO=Garment District,PU_bor=Manhattan,0.0115,0.919,1.02,4590
PU=Midtown South,DO_bor=Manhattan,0.0202,0.905,1.02,8025
"PU=Kips Bay, PU_bor=Manhattan",DO_bor=Manhattan,0.0103,0.908,1.02,4095
"PU=Times Sq/Theatre District, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0087,0.908,1.02,3456
weekend=yes,PU_bor=Manhattan,0.2662,0.921,1.02,106001
"PU=Midtown North, weekend=yes",DO_bor=Manhattan,0.0056,0.903,1.02,2222
"PU=Lower East Side, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0108,0.898,1.01,4302
"PU=Midtown South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0055,0.899,1.01,2206
"PU=Midtown South, weekend=yes",DO_bor=Manhattan,0.0055,0.899,1.01,2206
"PU=Midtown Center, weekend=yes",DO_bor=Manhattan,0.0062,0.891,1.01,2481
"PU=Midtown Center, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0062,0.891,1.01,2481
rush=yes,PU_bor=Manhattan,0.2669,0.911,1.01,106276
"PU=Lower East Side, weekend=yes",DO_bor=Manhattan,0.0108,0.898,1.01,4302
PU=UN/Turtle Bay South,DO_bor=Manhattan,0.0096,0.885,1.0,3810
"DO=Midtown South, DO_bor=Manhattan",PU_bor=Manhattan,0.018,0.903,1.0,7159
DO=Midtown South,PU_bor=Manhattan,0.018,0.903,1.0,7159
"PU=UN/Turtle Bay South, PU_bor=Manhattan",DO_bor=Manhattan,0.0096,0.885,1.0,3810
"DO=Midtown South, rush=yes",PU_bor=Manhattan,0.0056,0.898,1.0,2210
"DO=Midtown South, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0056,0.898,1.0,2210
"rush=yes, weekend=yes",PU_bor=Manhattan,0.0518,0.902,1.0,20634
weekend=yes,DO_bor=Manhattan,0.2569,0.889,1.0,102305
"PU=Lower East Side, PU_bor=Manhattan",DO_bor=Manhattan,0.0161,0.876,0.99,6423
"DO=Times Sq/Theatre District, DO_bor=Manhattan, weekend=yes",PU_bor=Manhattan,0.0067,0.894,0.99,2652
"DO=Times Sq/Theatre District, weekend=yes",PU_bor=Manhattan,0.0067,0.894,0.99,2652
PU=Lower East Side,DO_bor=Manhattan,0.0161,0.876,0.99,6423
"DO=LaGuardia Airport, DO_bor=Queens",PU_bor=Manhattan,0.0134,0.891,0.99,5317
DO=LaGuardia Airport,PU_bor=Manhattan,0.0134,0.891,0.99,5317
"DO=Times Sq/Theatre District, DO_bor=Manhattan, rush=yes",PU_bor=Manhattan,0.0086,0.874,0.97,3419
"DO=Times Sq/Theatre District, DO_bor=Manhattan",PU_bor=Manhattan,0.0258,0.875,0.97,10258
DO=Times Sq/Theatre District,PU_bor=Manhattan,0.0258,0.875,0.97,10258
PU=Times Sq/Theatre District,DO_bor=Manhattan,0.0297,0.858,0.97,11826
"PU=Times Sq/Theatre District, PU_bor=Manhattan",DO_bor=Manhattan,0.0297,0.858,0.97,11826
"DO=Times Sq/Theatre District, rush=yes",PU_bor=Manhattan,0.0086,0.874,0.97,3419
"PU=Times Sq/Theatre District, weekend=yes",DO_bor=Manhattan,0.0084,0.853,0.96,3350
"PU=Times Sq/Theatre District, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0084,0.853,0.96,3350
DO=JFK Airport,PU_bor=Manhattan,0.0084,0.816,0.91,3325
"DO=JFK Airport, DO_bor=Queens",PU_bor=Manhattan,0.0084,0.816,0.91,3325
"PU=LaGuardia Airport, PU_bor=Queens, rush=yes",DO_bor=Manhattan,0.0058,0.721,0.81,2313
"PU=LaGuardia Airport, rush=yes",DO_bor=Manhattan,0.0058,0.721,0.81,2313
"PU=LaGuardia Airport, PU_bor=Queens",DO_bor=Manhattan,0.0179,0.705,0.8,7116
PU=LaGuardia Airport,DO_bor=Manhattan,0.0179,0.705,0.8,7116
"DO_bor=Brooklyn, weekend=yes",PU_bor=Manhattan,0.0079,0.636,0.71,3130
"DO_bor=Queens, weekend=yes",PU_bor=Manhattan,0.0102,0.626,0.69,4054
"PU_bor=Queens, rush=yes",DO_bor=Manhattan,0.0126,0.585,0.66,5001
DO_bor=Queens,PU_bor=Manhattan,0.0351,0.592,0.66,13991
"DO_bor=Queens, rush=yes",PU_bor=Manhattan,0.0067,0.549,0.61,2683
DO_bor=Brooklyn,PU_bor=Manhattan,0.0223,0.534,0.59,8873
PU_bor=Queens,DO_bor=Manhattan,0.041,0.523,0.59,16322
"PU=JFK Airport, PU_bor=Queens, rush=yes",DO_bor=Manhattan,0.005,0.503,0.57,1996
"PU=JFK Airport, rush=yes",DO_bor=Manhattan,0.005,0.503,0.57,1996
"PU_bor=Queens, weekend=yes",DO_bor=Manhattan,0.0091,0.497,0.56,3620
"PU=JFK Airport, PU_bor=Queens",DO_bor=Manhattan,0.0169,0.435,0.49,6747
PU=JFK Airport,DO_bor=Manhattan,0.0169,0.435,0.49,6747
