antecedent,consequent,support,confidence,lift,count
"DO=Sutton Place/Turtle Bay North, weekend=yes",DO_bor=Manhattan,0.0059,1.0,1.13,2330
"DO=Central Park, PU_bor=Manhattan",DO_bor=Manhattan,0.0099,1.0,1.13,3926
"DO=UN/Turtle Bay South, PU_bor=Manhattan",DO_bor=Manhattan,0.015,1.0,1.13,5957
"DO=Midtown North, rush=yes",DO_bor=Manhattan,0.0082,1.0,1.13,3265
"DO=Gramercy, weekend=yes",DO_bor=Manhattan,0.0075,1.0,1.13,2982
"DO=East Chelsea, PU_bor=Manhattan",DO_bor=Manhattan,0.0249,1.0,1.13,9897
"DO=Upper West Side South, weekend=yes",DO_bor=Manhattan,0.0076,1.0,1.13,3023
"DO=Upper East Side South, PU=Upper East Side North",DO_bor=Manhattan,0.0053,1.0,1.13,2110
"DO=East Chelsea, weekend=yes",DO_bor=Manhattan,0.0087,1.0,1.13,3450
"DO=Upper East Side North, rush=yes",DO_bor=Manhattan,0.0149,1.0,1.13,5924
"DO=Upper West Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0251,1.0,1.13,9977
"DO=Upper East Side South, rush=yes",DO_bor=Manhattan,0.0137,1.0,1.13,5474
"DO=Upper East Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.0367,1.0,1.13,14598
"DO=Upper West Side South, rush=yes",DO_bor=Manhattan,0.0084,1.0,1.13,3337
"DO=Gramercy, PU_bor=Manhattan",DO_bor=Manhattan,0.0198,1.0,1.13,7881
"DO=Midtown Center, PU_bor=Manhattan",DO_bor=Manhattan,0.0356,1.0,1.13,14178
"DO=Clinton West, PU_bor=Manhattan",DO_bor=Manhattan,0.0107,1.0,1.13,4259
"DO=Murray Hill, PU_bor=Manhattan",DO_bor=Manhattan,0.0278,1.0,1.13,11081
"DO=Murray Hill, weekend=yes",DO_bor=Manhattan,0.0084,1.0,1.13,3361
"DO_bor=Manhattan, PU=Yorkville West",rush=yes,0.0065,0.33,1.13,2608
"DO=Yorkville West, PU_bor=Manhattan",DO_bor=Manhattan,0.0206,1.0,1.13,8196
"DO=Lincoln Square East, rush=yes",DO_bor=Manhattan,0.0095,1.0,1.13,3789
"DO=Upper West Side North, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.007,1.0,1.13,2784
"DO=Midtown East, weekend=yes",DO_bor=Manhattan,0.0053,1.0,1.13,2117
"DO=Upper East Side South, PU=Upper East Side North, PU_bor=Manhattan",DO_bor=Manhattan,0.0053,1.0,1.13,2110
"DO=Lenox Hill East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0074,1.0,1.13,2955
DO=Yorkville East,DO_bor=Manhattan,0.015,1.0,1.13,5977
"DO=Clinton East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0062,1.0,1.13,2487
DO=Upper West Side North,DO_bor=Manhattan,0.0223,1.0,1.13,8888
"DO=Lincoln Square East, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0093,1.0,1.13,3701
DO=Central Park,DO_bor=Manhattan,0.0102,1.0,1.13,4049
DO=Yorkville West,DO_bor=Manhattan,0.0216,1.0,1.13,8620
DO=Murray Hill,DO_bor=Manhattan,0.0297,1.0,1.13,11840
DO=Clinton West,DO_bor=Manhattan,0.0112,1.0,1.13,4447
"DO_bor=Manhattan, PU=Yorkville West, PU_bor=Manhattan",rush=yes,0.0065,0.33,1.13,2608
DO=Kips Bay,DO_bor=Manhattan,0.0166,1.0,1.13,6629
DO=Gramercy,DO_bor=Manhattan,0.0211,1.0,1.13,8408
"DO=Upper East Side South, PU_bor=Manhattan, rush=yes",DO_bor=Manhattan,0.0134,1.0,1.13,5340
DO=Upper West Side South,DO_bor=Manhattan,0.0259,1.0,1.13,10296
DO=UN/Turtle Bay South,DO_bor=Manhattan,0.0161,1.0,1.13,6430
DO=Garment District,DO_bor=Manhattan,0.0125,1.0,1.13,4996
DO=Flatiron,DO_bor=Manhattan,0.0157,1.0,1.13,6243
"DO=Midtown South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0051,1.0,1.13,2017
DO=West Village,DO_bor=Manhattan,0.0174,1.0,1.13,6948
"DO=Upper East Side North, PU=Upper East Side South, PU_bor=Manhattan",DO_bor=Manhattan,0.006,1.0,1.13,2391
DO=Penn Station/Madison Sq West,DO_bor=Manhattan,0.0209,1.0,1.13,8303
"DO=Upper East Side South, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0076,1.0,1.13,3030
"DO=Clinton East, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0086,1.0,1.13,3428
DO=Lenox Hill East,DO_bor=Manhattan,0.0229,1.0,1.13,9109
DO=East Harlem South,DO_bor=Manhattan,0.0137,1.0,1.13,5468
"DO=Times Sq/Theatre District, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0067,1.0,1.13,2652
DO=Midtown South,DO_bor=Manhattan,0.0199,1.0,1.13,7926
"DO=Midtown Center, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0055,1.0,1.13,2203
DO=Lincoln Square East,DO_bor=Manhattan,0.0272,1.0,1.13,10848
"DO=Union Sq, PU_bor=Manhattan, weekend=yes",DO_bor=Manhattan,0.0058,1.0,1.13,2300
DO=Little Italy/NoLiTa,DO_bor=Manhattan,0.0089,1.0,1.13,3563
